00040601,שכר מנהלת תנופה,2011,16526,15137,15137
00040603,אמרכלות מנהלת תנופה,2011,17217,21979,31900
00040604,פעולות מנהלת תנופה,2011,6369,6025,8321
00040608,הסכמים לקבוצות על פי   סעיף 85 לחוק יישום     תכנית ההתנתקות,2011,96254,40000,105938
00040610,סיוע לפרטים - מגורים   ומענקים,2011,111352,34008,122971
00040611,סיוע לפרטים - תעסוקה,2011,10372,25000,10500
00040612,סיוע לעסקים,2011,127350,48951,138902
00040614,מימון פעולות משרדי     הממשלה,2011,40090,49800,101191
00040701,"רזרבה להתיקרויות       ולעמידה ביעד ההוצאה    למשרד רוה""מ ראשי",2011,-1,0,-1
00040801,מועצות דתיות,2011,245059,200569,294155
00040802,שירותי דת,2011,73408,74475,78486
00040803,בתי כנסת,2011,,75,0
00040804,רזרבות,2011,,7799,0
00040806,פתוח בתי עלמין,2011,10708,39944,51389
00040809,פיתוח מבני דת,2011,36694,29487,120084
00040810,שכר ואמרכלות,2011,22511,20977,30050
00040899,חשבון מעבר,2011,-2477,0,
00040901,שכר,2011,10373,10397,10582
00040902,שירותי כוח אדם וייעוץ,2011,549,499,802
00040903,אמרכלות,2011,6628,6067,8223
00040904,מיכון,2011,283,140,346
00040905,הסברה אירועים,2011,521,590,891
00040906,פעולות למען הכשרות,2011,237,265,405
00040907,פעולות הרבנות הראשית,2011,311,1600,4031
00040908,רזרבות להתייקרויות,2011,,369,0
00041501,שכר עובדי נתיב,2011,30199,28853,29963
00041502,אמרכלות ופעולות,2011,30190,34750,58738
00041503,פרוייקט הקלדה,2011,1129,0,2472
00041505,פרוייקט מיחשוב,2011,3628,3350,10039
00041506,פעולות תרבות וחינוך,2011,-1,0,-1
00041507,שירותי דת,2011,10,0,9
00041601,תקציב שכר,2011,38967,34320,39300
00041602,אמרכלות,2011,9243,10766,13278
00041603,הדרכה והכשרת עובדים,2011,-534,0,5180
00041604,יחידת המיכון,2011,3320,3295,7590
00041605,פרויקט עתידים למגזר    הציבורי,2011,430,2448,618
00041606,רזרבה להתייקרויות      ולעמידה ביעד ההוצאה,2011,,1217,0
00041607,"רזרבה לתכנית - ""צוערים לשירות המדינה""",2011,,12697,3100
00042101,שכר,2011,7077,9434,9580
00042102,אמרכלות,2011,5417,7756,10783
00042103,קידום הנגב והגליל,2011,98051,151810,238752
00042201,תוכנית לחיזוק הצפון,2011,,29340,3245
00042301,שכר,2011,5375,12282,6476
00042302,שרותים מרכזיים,2011,9030,35457,26442
00042303,רזרבה,2011,,2261,0
00042304,קידום שיתוף פעולה      אזורי,2011,-1,0,-1
00049999,חשבון מעבר,2011,0,0,
00190101,שירותים מרכזיים,2011,38962,36472,39504
00190102,אמרכלות,2011,16632,18051,24381
00190103,מחשוב,2011,847,717,1110
00190401,קידום קשרים בינלאומיים,2011,79398,38947,81824
00190402,"מחקרים, פרוייקטים      ותמיכות במדע",2011,50836,19995,88615
00190403,תשתיות מדעיות,2011,33557,38399,56261
00190404,המועצה הלאומית למחקר   ופיתוח אזרחי,2011,3414,6075,8205
00190701,רזרבה,2011,,22945,0
00192109,רשות העתיקות,2011,81563,57113,81563
00193103,"מינהל תרבות            אומנות ומחקר, יוצרים   ואומנים",2011,639035,607128,745068
00193703,הרשות לנהיגה ספורטיבית,2011,1236,3510,5336
00193704,פעולות ותמיכות בספורט,2011,116528,105579,176778
00199999,חשבון מעבר,2011,-150,0,
0004011101,שיא כח אדם,2011,19525,19114,20514
0004011102,שעות נוספות,2011,3590,4332,3560
0004011103,עבודה בלתי צמיתה,2011,20714,19531,22150
0004011104,פעולות הנהלה מיוחדות,2011,54,0,314
0004011105,השתתפות בפרוייקט מרכבה,2011,-1,0,-1
0004011106,מיכון,2011,15196,13707,32555
0004011107,עלויות פרישה,2011,1597,10,1864
0004011108,השתתפות בבוחן ותהילה,2011,372,2260,2260
0004011109,השתתפות במשרד האוצר -,2011,1,128,1
0004011113,קתדרה ללימודי יהדות,2011,-1,0,-1
0004011117,העצמת תשתיות מורשת -,2011,-1,0,-1
0004011119,השתתפות בפרוייקט ממשל,2011,-1,0,-1
0004011120,פרוייקטים  ופעולות,2011,911,7906,10478
0004011121,השתתפות במשרד לאיכות,2011,3250,0,3250
0004011123,השתתפות במשרד הביטחון,2011,-1,0,-1
0004011124,השתתפות בדיור הממשלתי,2011,470,2000,3850
0004011125,פרויקט אלמוג,2011,-1,0,-1
0004011127,השתתפות במשרד הביטחון,2011,-1,0,-1
0004011128,חגיגות 60 שנה למדינה,2011,129,0,129
0004011129,"השתתפות במשרד המדע,",2011,,1200,1200
0004011130,העסקת סטודנטים,2011,713,486,672
0004011131,שכר עידוד,2011,11,102,10
0004011132,רזרבה לעמידה ביעד,2011,-1,0,-1
0004011133,השתתפות בביתן יהודי,2011,1700,1700,1700
0004011137,השתתפות במשרד הביטחון,2011,-1,0,-1
0004011138,השתתפות במשרד החינוך,2011,-1,0,-1
0004011139,השתתפות במשרד התיירות-,2011,-1,0,-1
0004011140,השתתפות במשרד התחבורה-,2011,-1,0,-1
0004011142,"""שירותי כבאות אווירית""",2011,1601,0,1602
0004011145,השתתפות במשרד לביטחון,2011,-1,0,-1
0004011147,תכנון מדיניות עבודת,2011,113,3000,4821
0004011148,השתתפות במשרד הפנים -,2011,-1,0,-1
0004011149,השתתפות ברשות,2011,-1,0,-1
0004011150,השתתפות ברשות הטבע,2011,-1,0,-1
0004011152,השתתפות בסעיף 54 -,2011,-1,0,-1
0004011153,השתתפות במשרד התיירות,2011,,1500,0
0004011154,השתתפות במשרד הבינוי,2011,,4000,4000
0004011155,מכירת שירותים למשרדי,2011,,-2000,-2000
0004011156,רכישת שירותים ממשרדי,2011,,2000,2000
0004011157,רזרבה להשתתפות בסעיף,2011,,1000,0
0004011158,השתתפות במשרד הביטחון,2011,-1,0,-1
0004011159,חינוך בלתי פורמלי,2011,,0,10000
0004011160,"פרוייקט תמ""ר-מע' ממוחשבת לניהול תכניות עבודה",2011,,,750
0004011202,תכנית רב שנתית לעידוד,2011,39139,22697,52058
0004011204,תוכנית רב שנתית לפיתוח,2011,84630,34300,102527
0004011205,תחזוקת מנהרות הכותל,2011,18399,6196,22928
0004011206,פיתוח תכניות תיירות,2011,-1,0,-1
0004011207,רזרבה לתחזוקת הכותל,2011,,7500,0
